DEVICE_NAME;PACKAGE_NAME;VERSION_NO;
XMC1100;TSSOP 16;V2.1.10;
PIN_NO;PHYSICAL_PIN;PERIPHERAL_NAME;MODULE_NAME;SIGNAL_NAME;PIN_NAME;COMMENT;
13;P0.14;I2C;USIC0_CH0;SCL;SCLKOUT&DX1A;SCL;
14;P0.15;I2C;USIC0_CH0;SDA;DOUT0&DX0B;SDA;
